City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,springbok,-29.6643,17.8865,10.31,48,0,3.47,ZA,1681064326
116,beisfjord,68.3751,17.5988,4.03,85,68,2.67,NO,1681064327
117,bredasdorp,-34.5322,20.0403,15.34,64,12,5.58,ZA,1681064327
118,dikson,73.5069,80.5464,-23.9,88,100,3.55,RU,1681064327
119,beyneu,45.3167,55.2,13.25,61,91,1.89,KZ,1681064327
120,luderitz,-26.6481,15.1594,15.96,53,0,11.19,NA,1681064328
121,hostotipaquillo,21.0667,-104.0667,30.92,15,77,0.41,MX,1681064328
122,tahe,52.3333,124.7333,-4.61,78,90,1.09,CN,1681064328
123,rumoi,43.9344,141.6428,1.46,85,38,2.84,JP,1681064328
124,port hardy,50.6996,-127.4199,7.0,100,100,2.57,CA,1681064328
125,la primavera,5.4906,-70.4092,31.32,51,70,2.76,CO,1681064329
126,fort frances,48.5999,-93.4003,13.12,38,0,4.12,CA,1681064329
127,guerrero negro,27.9769,-114.0611,18.63,61,65,5.17,MX,1681064329
128,coahuayana,18.7333,-103.6833,33.52,30,69,3.06,MX,1681064329
129,erdenet,49.0333,104.0833,-4.04,35,15,5.44,MN,1681064329
130,pangkalanbuun,-2.6833,111.6167,23.03,98,92,1.33,ID,1681064330
131,vorukh,39.8494,70.5838,11.23,65,96,3.28,TJ,1681064330
132,touros,-5.1989,-35.4608,28.48,72,98,6.12,BR,1681064330
133,avera,33.194,-82.5271,17.17,53,83,7.45,US,1681064330
134,ostrovnoy,68.0531,39.5131,0.43,94,100,5.44,RU,1681064330
135,zhukovka,53.534,33.728,11.15,69,96,1.99,RU,1681064331
136,nome,64.5011,-165.4064,-19.96,84,100,3.09,US,1681064331
137,mankera,31.3866,71.4407,28.94,20,1,2.9,PK,1681064332
138,bonthe,7.5264,-12.505,28.35,63,81,5.41,SL,1681064332
139,pevek,69.7008,170.3133,-30.64,100,100,2.27,RU,1681064332
140,dudinka,69.4058,86.1778,-31.44,100,88,2.15,RU,1681064332
141,jinka,5.65,36.65,22.19,51,94,1.08,ET,1681064332
142,port keats,-14.25,129.55,24.63,91,100,5.0,AU,1681064333
143,castleisland,52.2333,-9.4667,10.2,97,100,2.5,IE,1681064333
144,comodoro rivadavia,-45.8667,-67.5,5.92,70,75,5.66,AR,1681064333
145,ialibu,-6.2821,143.9935,13.19,98,100,1.01,PG,1681064333
146,rabo de peixe,37.8,-25.5833,16.73,88,40,4.63,PT,1681064334
147,kudahuvadhoo,2.6708,72.8944,28.26,74,10,4.28,MV,1681064334
148,noyabrsk,63.1994,75.4507,-0.82,96,100,7.21,RU,1681064334
149,saint-pierre,-21.3393,55.4781,25.82,83,75,3.09,RE,1681064305
150,yerbogachen,61.2767,108.0108,-15.95,96,100,1.61,RU,1681064334
151,lukovetskiy,64.2956,41.9211,0.12,92,100,1.15,RU,1681064335
152,bow island,49.8668,-111.3684,13.16,50,4,4.12,CA,1681064335
153,kamenka,51.3223,42.7678,8.2,55,48,2.64,RU,1681064335
154,fort nelson,58.8053,-122.7002,7.77,39,75,2.06,CA,1681064335
155,aswan,24.0934,32.907,33.08,24,7,1.87,EG,1681064335
156,machilipatnam,16.1667,81.1333,26.61,72,0,3.78,IN,1681064335
157,victoria,22.2855,114.1577,21.29,79,85,0.89,HK,1681064336
158,klaksvik,62.2266,-6.589,7.51,94,99,13.27,FO,1681064336
159,east london,-33.0153,27.9116,18.22,83,90,8.81,ZA,1681064336
160,richards bay,-28.783,32.0377,25.23,85,73,5.14,ZA,1681064336
161,buin,-33.7333,-70.75,31.35,10,0,2.82,CL,1681064337
162,chacaltianguis,18.3333,-95.8333,30.66,50,59,3.31,MX,1681064337
163,kyshtovka,56.555,76.6271,0.07,87,75,5.11,RU,1681064337
164,sarkand,45.41,79.9186,4.93,46,39,1.25,KZ,1681064337
165,talnakh,69.4865,88.3972,-27.5,96,81,1.7,RU,1681064338
166,iwanai,42.9744,140.5089,1.27,86,15,2.59,JP,1681064338
167,tacuarembo,-31.7333,-55.9833,28.02,34,0,1.87,UY,1681064338
168,nakasongola,1.3089,32.4564,19.84,86,49,2.18,UG,1681064339
169,endirey,43.1632,46.654,9.12,80,39,1.61,RU,1681064339
170,vila,42.0304,-8.1588,14.83,54,100,1.78,PT,1681063853
171,yaan,7.3833,8.5667,31.24,49,100,4.9,NG,1681064339
172,norman wells,65.282,-126.8329,-0.98,74,20,6.17,CA,1681064340
173,feijo,-8.1642,-70.3536,25.87,91,96,1.35,BR,1681064340
174,hofn,64.2539,-15.2082,6.96,92,100,11.14,IS,1681064340
175,saint-philippe,-21.3585,55.7679,25.77,83,100,2.86,RE,1681064340
176,riverton,40.5219,-111.9391,17.32,41,0,2.24,US,1681064104
177,gamba,-2.65,10.0,25.96,85,100,3.32,GA,1681064341
178,port shepstone,-30.7414,30.455,23.05,91,90,4.69,ZA,1681064341
179,pisco,-13.7,-76.2167,27.03,69,0,5.66,PE,1681064341
180,kirakira,-10.4544,161.9205,26.72,84,72,2.46,SB,1681064341
181,capinopolis,-18.6819,-49.5697,26.15,66,97,1.6,BR,1681064341
182,esil,51.9556,66.4042,3.14,48,1,2.13,KZ,1681064342
183,saint-georges,12.0564,-61.7485,28.82,70,20,7.72,GD,1681064044
184,vardo,70.3705,31.1107,0.99,80,75,5.14,NO,1681064342
185,lagoa,39.05,-27.9833,16.07,88,55,7.03,PT,1681064343
186,oktyabrskiy,54.4815,53.471,6.33,42,57,1.81,RU,1681064343
187,srednekolymsk,67.45,153.6833,-20.82,99,15,3.47,RU,1681064344
188,amboasary,-25.0333,46.3833,23.49,89,1,3.2,MG,1681064344
189,sabya,17.1495,42.6254,31.79,48,0,2.9,SA,1681064344
190,middle island,40.8843,-72.9373,12.58,46,0,6.17,US,1681064345
191,codrington,-38.2667,141.9667,12.65,74,92,5.79,AU,1681064345
192,beringovskiy,63.05,179.3167,-21.22,100,76,2.34,RU,1681064345
193,togur,58.3631,82.8265,-5.69,82,100,3.86,RU,1681064346
194,haines junction,60.7522,-137.5108,0.97,80,66,2.06,CA,1681064346
195,soyo,-6.1349,12.3689,27.37,85,100,3.6,AO,1681064346
196,college,64.8569,-147.8028,-15.23,72,100,4.63,US,1681064346
197,mutsu,41.2894,141.2169,5.92,78,6,4.78,JP,1681064347
198,yulara,-25.2406,130.9889,22.19,32,44,3.96,AU,1681064347
199,shebunino,46.4339,141.8603,2.16,89,16,3.65,RU,1681064347
200,bendigo,-36.7667,144.2833,7.7,55,9,3.29,AU,1681064347
201,aztec,36.8222,-107.9929,17.18,24,66,1.52,US,1681064273
202,saskylakh,71.9167,114.0833,-19.52,99,99,1.08,RU,1681064348
203,roma,43.2128,-75.4557,11.49,24,0,4.02,US,1681064348
204,awjilah,29.1081,21.2869,20.0,45,0,9.82,LY,1681064349
205,winona,43.9666,-91.7668,19.89,17,0,5.14,US,1681064349
206,shelburne,44.0787,-80.2041,9.57,42,9,2.07,CA,1681064349
207,jiwani,25.05,61.7417,25.26,67,33,4.66,PK,1681064349
208,warmbad,-28.45,18.7333,17.38,22,0,6.29,NA,1681064350
209,iqaluit,63.7506,-68.5145,-19.15,65,20,7.2,CA,1681064295
210,geraldton,-28.7667,114.6,12.23,87,0,2.57,AU,1681064351
211,kodiak,57.79,-152.4072,-7.27,45,0,11.83,US,1681064351
212,mount gambier,-37.8333,140.7667,11.25,86,82,2.48,AU,1681064352
213,dubbo,-32.25,148.6167,5.07,93,0,3.09,AU,1681064352
214,itarema,-2.9248,-39.9167,27.37,83,96,3.88,BR,1681064352
215,tual,-5.6667,132.75,28.09,75,100,3.31,ID,1681064352
216,watsa,3.0372,29.5355,21.09,75,53,1.37,CD,1681064353
217,ayabaca,-4.6398,-79.7149,18.03,59,69,2.13,PE,1681064353
218,saldanha,-33.0117,17.9442,15.03,73,0,3.77,ZA,1681064353
219,reconquista,-29.15,-59.65,28.31,34,0,1.09,AR,1681064354
220,nanortalik,60.1432,-45.2371,-1.25,92,100,8.09,GL,1681064354
221,binzhou,37.3667,118.0167,18.92,54,16,8.11,CN,1681064354
222,isangel,-19.55,169.2667,26.45,82,36,1.4,VU,1681064355
223,saint-joseph,-21.3667,55.6167,25.21,83,100,1.22,RE,1681064355
224,manaia,-39.55,174.1333,16.43,86,100,5.32,NZ,1681064355
225,krapivinskiy,54.9992,86.8133,-6.79,85,59,1.91,RU,1681064355
226,rocha,-34.4833,-54.3333,27.31,32,0,3.29,UY,1681064146
227,tiksi,71.6872,128.8694,-16.71,92,100,3.35,RU,1681064356
228,honningsvag,70.9821,25.9704,2.86,81,75,3.6,NO,1681064356
229,mehamn,71.0357,27.8492,2.97,87,75,6.69,NO,1681064357
230,astana,51.1801,71.446,-4.03,63,0,2.0,KZ,1681064357
231,namibe,-15.1961,12.1522,24.22,78,68,5.54,AO,1681064357
232,gaspe,48.8334,-64.4819,-0.05,55,100,7.2,CA,1681064358
233,dzhebariki-khaya,62.2167,135.8,-27.23,100,77,0.76,RU,1681064358
234,fort saint james,54.4333,-124.25,5.09,87,100,5.27,CA,1681064358
235,krasnyy chikoy,50.3643,108.7512,-3.48,83,100,6.08,RU,1681064358
236,esperance,-33.8667,121.9,15.63,91,20,5.16,AU,1681064358
237,palana,59.1167,159.9667,-9.81,85,94,5.11,RU,1681064359
238,lavrentiya,65.5833,-171.0,-19.47,88,100,3.18,RU,1681064359
239,westport,41.1415,-73.3579,14.23,38,0,5.14,US,1681063569
240,sorong,-0.8833,131.25,26.03,85,100,2.11,ID,1681064360
241,juybar,36.6412,52.9124,13.09,85,51,2.05,IR,1681064360
242,olafsvik,64.8945,-23.7142,6.84,83,100,12.55,IS,1681064361
243,kindu,-2.95,25.95,23.16,81,23,0.32,CD,1681064361
244,port macquarie,-31.4333,152.9167,9.94,65,0,3.12,AU,1681064361
245,leua,48.2156,18.6071,6.27,74,92,0.84,SK,1681064361
246,salinopolis,-0.6136,-47.3561,27.47,79,74,2.5,BR,1681064189
247,vire,48.9167,-0.8333,13.66,79,100,2.5,FR,1681064362
248,narasannapeta,18.4167,84.05,27.13,68,8,2.41,IN,1681064362
249,lebu,-37.6167,-73.65,17.77,56,99,2.54,CL,1681064362
250,cabo san lucas,22.8909,-109.9124,28.12,41,40,2.06,MX,1681064110
251,namatanai,-3.6667,152.4333,25.62,85,100,1.95,PG,1681064363
252,margate,51.3813,1.3862,12.05,78,92,0.45,GB,1681064311
253,paamiut,61.994,-49.6678,-2.27,82,100,12.45,GL,1681064363
254,umm kaddadah,13.6017,26.6876,30.83,9,82,4.58,SD,1681064363
255,kulunda,52.566,78.9385,2.41,64,80,1.97,RU,1681064364
256,ponta do sol,32.6667,-17.1,20.95,69,1,2.15,PT,1681064364
257,araouane,18.9048,-3.5265,33.07,11,100,5.72,ML,1681064364
258,fallon,39.4735,-118.7774,17.84,33,0,0.0,US,1681064202
259,nioro,13.35,-15.75,36.33,14,55,3.29,GM,1681064365
260,kholtoson,50.2981,103.3097,-7.8,68,70,2.61,RU,1681064365
261,san bartolome de tirajana,27.9248,-15.5733,15.73,62,20,10.8,ES,1681064365
262,fortuna,40.5982,-124.1573,20.52,53,50,1.34,US,1681064366
263,christchurch,-43.5333,172.6333,15.51,91,98,5.14,NZ,1681064366
264,limbang,4.75,115.0,25.06,98,73,0.98,MY,1681064366
265,broome,42.2506,-75.833,13.34,28,0,1.79,US,1681064367
266,asau,46.4333,26.4,4.6,90,78,0.91,RO,1681064367
267,mount isa,-20.7333,139.5,11.87,71,89,0.0,AU,1681064367
268,griffith,41.5284,-87.4237,20.06,27,0,5.66,US,1681064368
269,petropavlovsk-kamchatskiy,53.0452,158.6483,0.33,100,100,3.0,RU,1681064368
270,chumikan,54.7183,135.315,-11.0,95,94,0.66,RU,1681064368
271,ambon,-3.6954,128.1814,25.08,94,20,2.06,ID,1681064368
272,bathsheba,13.2167,-59.5167,29.34,65,40,9.26,BB,1681063914
273,bilma,18.6853,12.9164,34.07,11,47,3.99,NE,1681064369
274,nha trang,12.25,109.1833,27.0,93,19,2.27,VN,1681064369
275,cardston,49.2,-113.3019,13.08,35,86,6.17,CA,1681064369
276,maragogi,-9.0122,-35.2225,28.22,72,82,4.31,BR,1681064369
277,kurduvadi,18.0833,75.4333,31.0,37,57,5.96,IN,1681064370
278,cap malheureux,-19.9842,57.6142,25.82,78,100,1.34,MU,1681064370
279,castleblayney,54.1167,-6.7333,11.01,92,100,7.1,IE,1681064370
280,tsiroanomandidy,-18.7667,46.0333,19.67,90,3,0.52,MG,1681064370
281,lemery,11.2258,122.9275,23.47,91,99,2.21,PH,1681064371
282,cayenne,4.9333,-52.3333,30.02,66,100,4.12,GF,1681064371
283,maltahohe,-24.8333,16.9833,18.59,17,0,6.43,NA,1681064371
284,jega,12.2175,4.3792,37.24,10,97,4.04,NG,1681064371
285,matara,5.9485,80.5353,25.8,79,14,3.58,LK,1681064372
286,severo-kurilsk,50.6789,156.125,0.78,97,100,5.74,RU,1681064372
287,san andres,12.5847,-81.7006,30.01,62,20,5.66,CO,1681064372
288,hwange,-18.3693,26.5019,23.46,45,71,1.87,ZW,1681064353
289,komsomolskiy,40.4272,71.7189,14.4,67,93,1.03,UZ,1681064372
290,hobyo,5.3505,48.5268,29.12,70,2,7.39,SO,1681064373
291,kidal,18.4411,1.4078,34.07,11,95,3.5,ML,1681064373
292,baherden,38.4362,57.4316,18.9,45,34,3.9,TM,1681064373
293,bon air,37.5249,-77.5578,17.04,31,0,4.12,US,1681064373
294,acapulco,16.8634,-99.8901,30.9,51,0,5.66,MX,1681064360
295,sobolevo,54.4299,31.8996,9.89,68,47,0.45,RU,1681064374
296,pinar del rio,22.4175,-83.6981,33.31,33,2,0.78,CU,1681064374
297,banikoara,11.2985,2.4386,37.25,12,86,2.27,BJ,1681064374
298,oskarshamn,57.2645,16.4484,3.88,62,40,1.76,SE,1681064375
299,ust-karsk,52.7011,118.8077,-1.87,81,100,1.77,RU,1681064375
300,kununurra,-15.7667,128.7333,25.99,89,75,1.54,AU,1681064240
301,vaitape,-16.5167,-151.75,27.54,75,100,6.9,PF,1681064375
302,mana,5.6592,-53.7767,28.86,61,48,3.83,GF,1681064376
303,hay river,60.8156,-115.7999,3.98,75,20,5.14,CA,1681064376
304,waingapu,-9.6567,120.2641,25.03,87,100,3.96,ID,1681064376
305,san jose,37.3394,-121.895,21.91,50,20,12.07,US,1681063767
306,sabzevar,36.2126,57.6819,18.21,38,6,3.0,IR,1681064376
307,san patricio,28.017,-97.5169,25.65,63,34,2.72,US,1681064377
308,matay,28.419,30.7792,29.77,22,100,6.53,EG,1681064377
309,dingle,10.9995,122.6711,23.76,88,100,2.62,PH,1681064378
310,atbasar,51.8,68.3333,1.2,58,2,1.79,KZ,1681064378
311,fayaoue,-20.65,166.5333,27.04,71,4,3.2,NC,1681064378
312,salalah,17.0151,54.0924,28.05,74,40,2.06,OM,1681064379
313,ahipara,-35.1667,173.1667,17.64,94,14,5.3,NZ,1681064379
314,mayo,38.8876,-76.5119,16.31,35,0,4.63,US,1681064379
315,lorengau,-2.0226,147.2712,25.3,90,100,2.76,PG,1681064379
316,tevaitoa,-16.7833,-151.5,27.61,75,100,7.06,PF,1681064379
317,natal,-5.795,-35.2094,31.36,62,20,6.69,BR,1681064380
318,san pedro,14.35,121.0167,26.86,76,20,1.54,PH,1681064380
319,sunbury,-37.5833,144.7333,10.86,94,75,6.69,AU,1681064381
320,jiaozuo,35.2397,113.2331,18.02,48,24,2.31,CN,1681064381
321,port blair,11.6667,92.75,28.02,83,40,1.03,IN,1681064381
322,tayirove,46.3631,30.6489,10.15,72,73,1.22,UA,1681064382
323,vedea,43.7833,25.7833,10.16,61,100,3.67,RO,1681064382
324,villa carlos paz,-31.4241,-64.4978,30.03,51,0,2.68,AR,1681064074
325,puerto madero,14.7208,-92.4215,32.11,62,20,3.09,MX,1681064382
326,portland,45.5234,-122.6762,12.67,89,100,4.63,US,1681063620
327,hovd,48.0056,91.6419,-2.78,44,31,2.83,MN,1681064383
328,santa maria del oro,25.9333,-105.3667,24.3,21,2,1.04,MX,1681064383
329,kurilsk,45.2333,147.8833,-0.31,78,69,9.65,RU,1681064384
330,menongue,-14.6585,17.691,18.63,68,55,2.49,AO,1681064384
331,totness,5.8833,-56.3167,29.01,60,55,4.39,SR,1681064384
332,veraval,20.9,70.3667,26.18,58,20,4.9,IN,1681064384
333,dolores,-36.3132,-57.6792,28.9,25,2,5.37,AR,1681064385
334,katobu,-4.9408,122.5276,24.14,91,79,2.26,ID,1681064385
335,kavarna,43.4333,28.3333,9.68,79,100,3.27,BG,1681064385
336,moree,-29.4667,149.85,11.98,53,0,3.41,AU,1681064386
337,anadyr,64.75,177.4833,-25.72,76,20,2.0,RU,1681064386
338,longyearbyen,78.2186,15.6401,0.91,86,75,4.63,SJ,1681064386
339,terrace bay,48.7834,-87.1,1.4,96,44,6.46,CA,1681064387
340,ondangwa,-17.9167,15.95,28.0,39,77,1.03,NA,1681064387
341,maldonado,-34.6667,-54.9167,25.66,34,0,0.32,UY,1681064387
342,kloulklubed,7.0419,134.2556,24.28,77,100,5.75,PW,1681064387
343,sayyan,15.1718,44.3244,15.75,58,89,3.23,YE,1681064388
344,polunochnoye,60.8697,60.4153,-0.97,84,21,3.62,RU,1681064388
345,chunskiy,56.0815,99.6342,-10.75,77,96,5.81,RU,1681064388
346,semey,50.4111,80.2275,2.58,41,0,2.81,KZ,1681064389
347,korla,41.7597,86.1469,14.01,24,30,5.36,CN,1681064389
348,ivdel,60.6911,60.4206,0.34,82,25,4.3,RU,1681064389
349,garowe,8.4054,48.4845,27.54,57,25,9.23,SO,1681064389
350,nizhniy kuranakh,58.8353,125.4869,-18.59,93,44,1.68,RU,1681064389
351,klyuchi,52.2667,79.1667,2.42,59,61,2.46,RU,1681064390
352,belyy yar,53.6039,91.3903,-8.06,53,0,2.0,RU,1681064390
353,bandarbeyla,9.4942,50.8122,28.16,73,16,5.39,SO,1681064390
354,hobbs,32.7026,-103.136,23.23,43,0,5.66,US,1681064390
355,kodinsk,58.6881,99.1844,-11.38,98,73,1.52,RU,1681064390
356,shizukuishi,39.6833,140.9833,3.28,87,20,2.01,JP,1681064391
357,vilyuysk,63.7553,121.6247,-19.1,100,100,1.07,RU,1681064391
358,yuncheng,35.0231,110.9928,16.74,53,8,1.16,CN,1681064391
359,conceicao do araguaia,-8.2578,-49.2647,28.08,78,99,0.64,BR,1681064391
360,faanui,-16.4833,-151.75,27.48,76,100,6.88,PF,1681064392
361,shingu,33.7333,135.9833,8.15,70,0,2.56,JP,1681064392
362,axim,4.8699,-2.2405,26.29,83,100,3.7,GH,1681064392
363,kahului,20.8947,-156.47,24.01,81,40,6.69,US,1681064392
364,yuanping,38.7153,112.7575,11.71,30,15,1.77,CN,1681064392
